Column;Used;Null Rate; Type; Unique values; Values
NUM_SECU_POL;X;0.0;int64;198002;"[4469994;1949855499999]"
NUM_SECU_SINI;X;0.0;int64;206173;"[132009994;1949870999999]"
NUM_SECU_EXPED;X;0.0;int64;307677;"[314379994;1949871009999]"
NUM_SECU_LIQ;;90.46;float64;40119;"[0.0;1949866869999.0]"
NUM_SECU_JUI;;18.4;float64;107695;"[0.0;1949867819999.0]"
COD_CIA;X;0.0;int64;2;"[1;14]"
COD_AGENCIA;X;0.0;int64;215;"[1320;9811]"
COD_AGEN_EMI;X;0.0;int64;294;"[10;9816]"
COD_SECC;;0.0;int64;1;"[4;4]"
COD_RAMO;X;0.0;int64;4;"[1;9]"
COD_COBERTURA;;48.15;float64;32;"[1.0;999.0]"
TIPO_SUCURSAL;;0.0;object;1;"Top 10:
A    505907"
NUM_SINI;X;0.0;int64;205274;"[13200000025;98110000185]"
COD_CAUSA_SINI;X;0.0;int64;31;"[4;550]"
NUM_POL1;X;0.0;int64;198002;"[1360002018301;9816002030001]"
FECHA_VIG_POL_DESDE;X;0.0;object;4945;"Top 10:
01/04/2019    9327
10/03/2019    7715
01/03/2019    6462
10/04/2019    5403
31/03/2019    5184
10/02/2019    4431
01/02/2019    4025
30/11/2018    3758
28/02/2019    3539
10/01/2019    3366"
FECHA_VIG_POL_HASTA;X;0.0;object;5135;"Top 10:
01/05/2019    9439
10/04/2019    7880
01/04/2019    6461
10/05/2019    5669
30/04/2019    5250
10/03/2019    4370
01/03/2019    4023
31/03/2019    3410
10/02/2019    3265
01/02/2019    3176"
COD_RIES;X;0.0;int64;2262;"[1;4564]"
FECHA_SINI;X;0.0;object;4995;"Top 10:
05/04/2019    2900
03/04/2019    2775
12/04/2019    2743
01/04/2019    2731
04/04/2019    2730
08/04/2019    2722
09/04/2019    2672
11/04/2019    2585
26/04/2019    2496
10/04/2019    2484"
FEC_DENU_SINI;X;0.0;object;4841;"Top 10:
08/04/2019    4729
01/04/2019    4641
22/04/2019    4479
15/04/2019    4347
29/04/2019    4319
03/04/2019    3955
09/04/2019    3739
04/04/2019    3678
16/04/2019    3329
23/04/2019    3327"
NRO_EXPED;X;0.0;int64;28;"[1;37]"
TIPO_EXPED;X;0.0;object;22;"Top 10:
002    184396
003    166793
010     61537
2       27312
3       21516
060      9572
001      7153
10       6704
020      5878
050      4412"
MCA_JUICIO;;54.76;object;3;"Top 10:
NaN    277013
J      128677
M       77736
C       22481"
