Column;Used;Null Rate; dtype; Unique values; values
DM_RETA_CLIE_ID;X;0.0;int64;798517;"[1008554118;1010433208]"
CIF_DM_ID;X;0.67;float64;738003;"[218704428.0;236720559.0]"
PRODUCTO;;0.0;object;1;"AUTO    798517
Name: PRODUCTO, dtype: int64"
ACA;X;0.0;object;2;"N    704022
S     94495
Name: ACA, dtype: int64"
NUM_POL1;X;0.0;int64;798517;"[1414000042712;9816002030402]"
NUM_END;X;0.0;int64;8;"[0;7]"
NUM_SECU_POL;X;0.0;int64;798517;"[1885424889999;1961338969999]"
MCA_ANU_POL;;0.0;object;1;"N    798517
Name: MCA_ANU_POL, dtype: int64"
COD_DOCUMTO;X;0.0;object;9;"DU    680287
LE     67663
LC     26806
CT     23328
CL       208
CI       144
ER        60
PA        16
PD         5
Name: COD_DOCUMTO, dtype: int64"
FECHA_VIG_PER;X;0.0;object;191;"1/6/2019     106861
10/5/2019     84253
31/5/2019     68782
2/6/2019      28057
5/6/2019      25890
7/6/2019      22325
15/5/2019     21828
11/5/2019     21466
14/5/2019     20844
3/6/2019      20787
Name: FECHA_VIG_PER, dtype: int64"
FOR_COBRO;X;0.0;object;6;"TM    317722
PP    217395
CC    153968
BA    104846
TA      3733
SJ       853
Name: FOR_COBRO, dtype: int64"
COD_MOD;X;3.54;float64;91;"[1924.0;2019.0]"
COD_MARCA;X;3.54;float64;10386;"[151.0;63191.0]"
PAT_VEH;X;4.09;object;763944;"E/T-2018    53
E/T-2017    16
E/T-2016     8
AA000AA      4
E/T-2015     4
AA030YW      3
AD144KB      3
AA060FN      3
AB092ZH      3
AB698YZ      3
Name: PAT_VEH, dtype: int64"
MCA_0KM;X;1.58;object;2;"N    773186
S     12676
Name: MCA_0KM, dtype: int64"
COD_RAMO_VEH;X;3.54;float64;199;"[1.0;989.0]"
MARCA;X;3.54;object;8984;"VOLKSWAGEN GOL TREND 1.6 5P L/    9083
FORD KA 1.5 S                     6848
FIAT PALIO 1.4 5P ATTRACT L/14    6737
VOLKSWAGEN GOL TREND 1.6 PACK     5739
CHEVROLET CLASSIC 1.4 LS ABS A    5676
RENAULT CLIO MIO 1.2 5P CONFOR    5547
RENAULT SANDERO STEPWAY II 1.6    5367
VOLKSWAGEN SURAN 1.6 TRENDLINE    5123
FORD FIESTA 1.6 S 5P L/14         5047
VOLKSWAGEN SURAN 1.6 HIGHLINE     4932
Name: MARCA, dtype: int64"
SUMA_ASEG;X;0.17;float64;5219;"[-1.0;11220000.0]"
PRIMA;X;0.0;float64;15466;"[0.0;112999.0]"
PREMIO;X;0.0;float64;18015;"[0.0;140886.0]"
CIF_ID;X;0.03;float64;741909;"[571.0;23153095.0]"
CP_RIESGO;X;0.01;float64;7152;"[0.0;83162686.0]"
COD_AGENCIA_SOLIC;X;0.0;int64;350;"[0;9902]"
COD_AGENCIA_EMI;X;0.0;int64;115;"[10;9892]"
COD_PROD;X;0.0;int64;2326;"[5;99998]"
PERIODO_FACT;X;0.0;int64;3;"[1;12]"
TIPO_COMB;X;38.81;object;5;"N      414547
D       55296
GNC     15989
R        2818
I           1
Name: TIPO_COMB, dtype: int64"
COD_AGENCIA;X;0.0;int64;249;"[10;9816]"
COD_INICIADOR;X;39.25;float64;964;"[0.0;99998.0]"
FECHA_SOLIC;X;12.5;object;4878;"31/5/2019     1186
2/5/2019      1175
7/9/2018      1164
31/7/2018     1162
28/12/2018    1149
28/2/2019     1138
27/7/2018     1130
3/5/2019      1129
29/6/2018     1125
29/4/2019     1121
Name: FECHA_SOLIC, dtype: int64"
COD_AGENCIA_GEST;;91.65;float64;2;"[51.0;57.0]"
CANAL;X;0.51;object;14;"CANAL INDIRECTOS      357681
CANAL ACA              90418
CANAL TELEMARKETIN     86083
CANAL SUCURSALES       77333
CANAL CAJA EXPRESS     72259
CANAL CENTROS DE S     54537
CANAL WEB              23031
CANAL AGENTES EXCL     21357
PRODUCTORES PAS        11589
CANAL NO CLASIFICA       143
Name: CANAL, dtype: int64"
