Column;Used;Null Rate; Type; Unique values; Values
COD_CIA;X;0.0;int64;4;"[1;14]"
COD_SECC;X;0.0;int64;19;"[1;90]"
FECHA_EQUIPO;X;0.0;object;102;"Top 10:
06/04/2019    283655
06/03/2019    239644
06/05/2019    234558
05/03/2019    233488
01/04/2019    197252
01/06/2019    196485
05/05/2019    185869
05/04/2019    181452
01/03/2019    180009
12/03/2019    170087"
NUM_POL1;X;0.0;int64;3270793;"[1414000042011;9960012003049]"
NUM_SECU_POL;X;0.0;int64;3272921;"[19990;1961338989999]"
NUM_END;;14.98;float64;855;"[0.0;5990.0]"
FECHA_VTO;X;0.0;object;134;"Top 10:
2019-06    1249254
2019-05    1162243
2019-07     841157
2019-04     766484
2019-08     470968
2019-03     284018
2019-09     197898
2019-10     143256
2019-11     134576
2019-12     127776"
FEC_PAGO;;60.74;object;41;"Top 10:
NaN        3581753
2019-05    1083836
2019-04     799545
2019-03     350087
2019-06      79139
2019-02       1199
2019-01        300
2017-11        193
2018-11        148
2018-12        132"
MONTO_PAGO;X;0.0;float64;181767;"[-2550140.4;92406374.0]"
COD_COBRO;X;0.0;object;8;"Top 10:
TA     1809724
TM     1300293
CC     1009791
PP      910468
BA      860263
SJ        6200
GP          84
NaN         17
AG           9"
COD_SITUACION;X;0.0;object;5;"Top 10:
EP    3568381
CT    2300668
PP      25380
AM       2164
AR        256"
