Column;Used;Null Rate; Type; Unique values; Values
ID;X;0.0;int64;99999;"[8;12872858]"
TIPO_DOCUMENTO;;0.0;object;1;"Top 10:
DOC    99999"
NUMERO_DOCUMENTO;;0.0;int64;1;"[11111111;11111111]"
APELLIDO;;0.0;object;1;"Top 10:
LOPEZ    99999"
NOMBRES;;0.0;object;1;"Top 10:
JUAN     99999"
ORIGEN;X;0.0;object;32;"Top 10:
043     35792
082     35067
095     19363
083      5653
003       833
023       820
074       797
PLAT      530
005       427
091       123"
SEXO;;1.64;object;2;"Top 10:
M      64120
F      34244
NaN     1635"
CLIENTE;;79.84;object;2;"Top 10:
NaN    79835
S      20139
N         25"
CUIT_CUIL;;0.0;int64;1;"[20111111110;20111111110]"
FECHA_NACIMIENTO;;31.31;object;20190;"Top 10:
NaN           31314
01/01/1900      490
11/11/1911      143
01/01/1950      108
01/11/1911       98
01/01/1980       93
01/01/1960       84
10/10/1970       78
01/01/1970       77
10/10/1950       69"
FECHA_DEFUNCION;;99.66;object;320;"Top 10:
NaN                         99659
20/10/2015                      2
02/07/1998 04:23:52 p.m.        2
02/10/2012                      2
21/06/2012                      2
09/02/2015                      2
25/07/2012                      2
03/09/2001                      2
01/01/2000                      2
30/08/2013                      2"
ACT_U_DOMICILIOS;;70.19;object;1413;"Top 10:
NaN             70193
VILLANUEVA       7388
OPS$CONSOLA      4972
TELETODO         1940
PAEZA             446
BARETTA           391
OPS$WS            346
OPS$CAMARINO      163
OPS$ROMEU         124
OPS$CAFARENA      122"
ACT_U_EDAD;;100.0;float64;0;"[nan;nan]"
ACT_U_TELEFONOS;;91.68;object;52;"Top 10:
NaN            91683
VILLANUEVA      6705
OPS$CONSOLA      388
TELETODO         375
PAEZA            340
BARETTA          282
OPERADOR          76
MTOSCANO          71
RISO              10
FERNAMARI          5"
PADRON;;80.51;object;3;"Top 10:
NaN    80512
S      12814
N       4879
X       1794"
ESTADO_CIVIL;;36.91;object;8;"Top 10:
Casado        42726
NaN           36911
Soltero       14562
Viudo          2499
Divorciado     2360
Separado        505
Conviv          416
Union Civ        14
No Corresp        6"
DOMICILIO_NUMERO;;85.58;object;4918;"Top 10:
NaN     85576
S/N       144
1500       71
0          48
1          34
2085       23
1200       19
480        19
1981       17
135        16"
ACT_F_SEXO;;3.14;object;53824;"Top 10:
NaN                         3139
21/11/2002 02:16:54 p.m.     218
21/11/2002 02:16:53 p.m.     180
21/11/2002 02:16:47 p.m.     178
21/11/2002 02:16:55 p.m.     121
09/10/2002 03:48:19 p.m.     102
26/12/1998                    86
01/10/2002 10:56:02 a.m.      79
21/11/2002 02:16:06 p.m.      62
15/12/1997 01:12:32 p.m.      42"
DOMICILIO_CODIGO_POSTAL;;84.23;float64;1510;"[1613.0;9420016.0]"
DOMICILIO_DEPTO;;96.43;object;198;"Top 10:
NaN    96430
A        859
B        622
C        333
D        227
2        187
1        164
3        152
E        113
4         96"
DOMICILIO_PISO;;96.24;object;99;"Top 10:
NaN    96236
1        616
PB       568
2        483
3        352
4        281
5        231
6        208
7        192
8        152"
CARACTERISTICA_TELEFONO;;100.0;float64;0;"[nan;nan]"
NUMERO_TELEFONO;;99.99;float64;7;"[0.0;37744.0]"
TIPO_PERSONA;X;0.0;object;2;"Top 10:
F    98525
J     1474"
FECHA_ALTA;;37.62;object;22532;"Top 10:
NaN           37619
23/12/1996     8183
02/06/1997     3307
10/02/1997     1458
08/01/1997     1399
19/02/1997     1282
28/05/1997     1279
13/05/1997      870
31/03/1997      776
24/12/1996      606"
FECHA_ACTUALIZACION;;37.0;object;62006;"Top 10:
NaN                         36998
13/03/2001 01:22:59 a.m.       14
11/02/1998 07:21:58 a.m.       13
08/09/1998 02:27:13 a.m.       12
08/09/1998 02:27:14 a.m.       11
07/12/1999 04:25:12 a.m.       10
11/02/1998 07:21:59 a.m.        8
11/02/1998 05:25:51 a.m.        7
28/05/1999 12:32:06 p.m.        7
09/02/2000 04:36:36 p.m.        7"
NACIONALIDAD;;99.97;object;1;"Top 10:
NaN     99971
ARGE       28"
HABILITADO;;65.41;object;1;"Top 10:
NaN    65406
S      34593"
DATECO_TRABAJA;;80.78;object;2;"Top 10:
NaN    80783
N      17155
S       2061"
ACT_F_TELEFONOS;;91.68;object;3319;"Top 10:
NaN                         91683
27/11/1998 04:04:26 p.m.       33
27/11/1998 04:04:37 p.m.       32
27/11/1998 04:04:41 p.m.       31
27/11/1998 04:04:38 p.m.       31
27/11/1998 04:03:33 p.m.       31
27/11/1998 04:04:25 p.m.       31
24/11/1998 05:29:07 p.m.       31
27/11/1998 04:04:13 p.m.       30
27/11/1998 04:04:43 p.m.       29"
ACT_F_APELLIDO_NOMBRES;X;0.2;object;61373;"Top 10:
NaN                         196
11/08/2004 05:24:09 p.m.     63
11/08/2004 05:24:17 p.m.     60
11/08/2004 05:24:19 p.m.     56
11/08/2004 05:24:27 p.m.     54
11/08/2004 05:24:13 p.m.     54
11/08/2004 05:24:10 p.m.     54
11/08/2004 05:24:33 p.m.     53
11/08/2004 05:24:24 p.m.     52
11/08/2004 05:24:23 p.m.     51"
ACT_F_ESTADO_CIVIL;;37.78;object;54358;"Top 10:
NaN                         37778
05/01/2006 09:00:47 p.m.       55
05/01/2006 09:00:50 p.m.       42
05/01/2006 09:00:49 p.m.       30
05/01/2006 09:00:48 p.m.       30
05/01/2006 09:00:51 p.m.       30
30/03/1998 09:24:23 a.m.       28
30/03/1998 09:23:57 a.m.       26
30/03/1998 09:24:54 a.m.       25
30/03/1998 09:24:16 a.m.       24"
ACT_F_HABILITADO;;65.37;object;23109;"Top 10:
NaN                         65372
30/03/1998 09:24:23 a.m.       39
30/03/1998 09:24:15 a.m.       34
30/03/1998 09:23:57 a.m.       34
30/03/1998 09:24:37 a.m.       33
30/03/1998 09:24:54 a.m.       32
30/03/1998 09:35:49 a.m.       31
30/03/1998 09:24:51 a.m.       30
30/03/1998 09:24:40 a.m.       28
30/03/1998 09:35:53 a.m.       28"
DOMICILIO_OBSERVACIONES;;92.9;object;1530;"Top 10:
NaN               92896
ENCUESTABLE        5358
PORT                 27
B                    17
BIS                  16
PORTERIA             14
BARRIO CENTRO        13
CASA                 11
ENTRE 51  Y 53        9
A                     9"
DOMICILIO_BARRIO;;97.22;object;1014;"Top 10:
NaN                 97215
CABALLITO              92
CENTRO                 89
PALERMO                81
FLORES                 76
VILLA URQUIZA          67
BELGRANO               65
ALMAGRO                49
RECOLETA               41
VILLA DEL PARQUE       35"
DOMICILIO_CALLE;;85.09;object;6260;"Top 10:
NaN                        85085
AV BERNARDINO RIVADAVIA       50
AV DEL LIBERTADOR             44
25 DE MAYO                    44
ITALIA                        42
TUCUMAN                       42
MENDOZA                       39
CALLE 2                       37
2                             36
SAN LORENZO                   36"
DOMICILIO_EDIFICIO;;99.8;object;112;"Top 10:
NaN    99795
1         17
5         13
2         11
3          8
4          5
6          5
10         4
E          4
11         4"
DOMICILIO_CALLE_ENTRE1;;98.95;object;790;"Top 10:
NaN           98946
RIVADAVIA        11
BELGRANO          8
NEUQUEN           6
MORENO            6
SAN MARTIN        5
TUCUMAN           5
CONGRESO          5
JUNCAL            5
CORRIENTES        5"
DOMICILIO_CALLE_ENTRE2;;99.12;object;707;"Top 10:
NaN                99120
GUEMES                 7
AVELLANEDA             7
CHILE                  6
RIVADAVIA              5
MENDOZA                5
BLANCO ENCALADA        5
ALEM                   4
ALVEAR                 4
ARGERICH               4"
DATART_CLAVE_CLIENTE;;98.01;object;1991;"Top 10:
NaN             98008
L23164370909        1
L20140102858        1
L27224265633        1
L20203148152        1
L20111113379        1
L20107580329        1
L20231264753        1
L20221482183        1
L23147042019        1"
DATECO_CUIT_EMPLEADOR;;73.88;float64;2180;"[316949.0;34628302725.0]"
DATECO_INGRESO_FAMILIAR;;100.0;float64;1;"[2200.0;2200.0]"
DATECO_INGRESO_PERSONAL;;98.68;float64;1147;"[0.0;20636044.0]"
DATECO_AUTONOMO;;82.21;object;2;"Top 10:
NaN    82209
N      17426
S        364"
DATECO_RAZON_SOCIAL_EMPLEADOR;;73.03;object;3053;"Top 10:
NaN                                                    73027
COVIPOL - COOP.VIV.CRED.Y                               7936
MUNICIPALIDAD DE ROSARIO                                4852
ASOCIACION DE MEDICOS MUN DE LA CIUDAD DE BUENOS AI     3917
MUNIC.DE GRAL.PUEYRREDON INST.SUP.DE EST.TECN.          1052
MUNICIPALIDAD DE SAN NICOLAS                             931
OBRA SOC EMPL PUBLICOS                                   611
MINISTERIO DE SALUD PROV BA                              443
LABORATORIOS ELEA SACIFYA                                212
COLEGIO MEDICO CATAMARCA                                 154"
DATECO_ACT_F_AUTONOMO;;82.05;object;17839;"Top 10:
NaN                         82053
15/03/2002 12:19:59 p.m.        4
30/07/2001 10:35:17 a.m.        2
07/10/2002 03:15:30 p.m.        2
15/03/2002 11:55:39 a.m.        2
11/03/2002 09:40:51 a.m.        2
22/10/2002 11:03:06 a.m.        2
14/03/2002 01:02:34 p.m.        2
13/03/2002 12:22:56 p.m.        2
02/08/2001 12:23:02 p.m.        2"
DATECO_ACT_F_INGRESO_FAMILIAR;;100.0;object;2;"Top 10:
NaN                         99997
09/09/2003 05:31:48 p.m.        1
07/04/1999 12:26:56 p.m.        1"
DATECO_ACT_F_INGRESO_PERSONAL;;98.65;object;1291;"Top 10:
NaN                         98653
09/03/1998 09:50:42 a.m.        6
30/03/1998 09:24:22 a.m.        4
11/11/1999 03:16:43 a.m.        4
30/03/1998 09:21:49 a.m.        3
30/03/1998 09:23:58 a.m.        3
28/01/1998 05:52:19 p.m.        2
28/04/1998 07:58:37 a.m.        2
28/01/1998 09:01:37 p.m.        2
27/03/1998 09:28:56 p.m.        2"
